year,station,내생휴면 해제일,예상 만개일
2004,sacheon,2004-01-29,2004-04-12
2005,sacheon,2005-02-08,2005-04-22
2006,sacheon,2006-02-01,2006-04-22
2007,sacheon,2007-01-24,2007-04-15
2008,sacheon,2008-02-01,2008-04-20
2009,sacheon,2009-02-02,2009-04-12
2010,sacheon,2010-02-07,2010-04-25
2011,sacheon,2011-02-16,2011-04-25
2012,sacheon,2012-02-20,2012-04-22
2013,sacheon,2013-02-04,2013-04-23
2014,sacheon,2014-01-28,2014-04-13
2015,sacheon,2015-01-27,2015-04-17
2016,sacheon,2016-02-04,2016-04-13
2017,sacheon,2017-01-27,2017-04-16
2018,sacheon,2018-02-14,2018-04-18
2019,sacheon,2019-01-23,2019-04-17
2020,sacheon,2020-01-30,2020-04-14
2021,sacheon,2021-02-04,2021-04-04
2022,sacheon,2022-01-28,2022-04-13
2023,sacheon,2023-02-03,2023-04-11
2024,sacheon,2024-02-02,2024-04-15
